what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_02-b06",1301846600989
java.specification.name,sysinfo,,,"Java Platform API Specification",1301846600989
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301846600989
java.specification.version,sysinfo,,,"1.6",1301846600989
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1301846600989
java.version,sysinfo,,,"1.6.0_02",1301846600989
java.vm.info,sysinfo,,,"mixed mode",1301846600989
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1301846600989
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1301846600989
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301846600989
java.vm.specification.version,sysinfo,,,"1.0",1301846600989
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1301846600989
java.vm.version,sysinfo,,,"1.6.0_02-b06",1301846600989
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1301846601411
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1301846601691
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1301846601816
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1301846601910
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1301846602144
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1301846602471
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1301846603595
started,bundle,org.eclipse.jst.server.core,1.2.0.v20090421,"org.eclipse.jst.server.core",1301846603766
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1301846603829
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1301846604063
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1301846604125
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1301846604390
