what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1302814513034
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1302814513034
java.version,sysinfo,,,"1.6.0_02",1302814513034
java.vm.info,sysinfo,,,"mixed mode",1302814513034
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1302814513034
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1302814513034
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302814513034
java.vm.specification.version,sysinfo,,,"1.0",1302814513034
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1302814513034
java.vm.version,sysinfo,,,"1.6.0_02-b06",1302814513034
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1302814513284
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1302814513291
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1302814516407
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1302814516527
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1302814516752
started,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1302814516822
started,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1302814516834
started,bundle,org.eclipse.jst.jsp.core,1.2.203.v200908241513,"org.eclipse.jst.jsp.core",1302814517182
started,bundle,org.eclipse.wst.wsdl.validation,1.1.401.v200902271605,"org.eclipse.wst.wsdl.validation",1302814517722
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1302814517792
started,bundle,org.eclipse.wst.xsl.core,1.0.1.v200908101420,"org.eclipse.wst.xsl.core",1302814517852
started,bundle,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui",1302814518397
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1302814519019
started,bundle,org.eclipse.wst.css.core,1.1.300.v200904131653,"org.eclipse.wst.css.core",1302814519209
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1302814520479
