what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1297271565458
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1297271565477
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1297271565479
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1297271565516
os,sysinfo,,,"win32",1297271565521
arch,sysinfo,,,"x86",1297271565521
ws,sysinfo,,,"win32",1297271565521
locale,sysinfo,,,"en_US",1297271565521
processors,sysinfo,,,"2",1297271565521
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1297271565521
java.runtime.version,sysinfo,,,"1.6.0_02-b06",1297271565521
java.specification.name,sysinfo,,,"Java Platform API Specification",1297271565521
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297271565521
java.specification.version,sysinfo,,,"1.6",1297271565521
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1297271565521
java.version,sysinfo,,,"1.6.0_02",1297271565521
java.vm.info,sysinfo,,,"mixed mode",1297271565521
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1297271565521
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1297271565521
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297271565521
java.vm.specification.version,sysinfo,,,"1.0",1297271565521
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1297271565521
java.vm.version,sysinfo,,,"1.6.0_02-b06",1297271565521
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1297271565638
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1297271565640
