what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1301588470760
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1301588470808
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1301588480096
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1301588480096
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1301588485251
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1301588486598
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1301588486644
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1301588494500
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1301588494500
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1301588503459
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1301588504834
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1301588507246
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1301588507411
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1301588511490
opened,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1301588517279
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1301588517351
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1301588534913
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1301588718164
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1301588719016
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1301588780238
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1301588784168
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1301588792893
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1301588794584
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1301588794834
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1301588795284
