what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1301915846913
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1301915846958
os,sysinfo,,,"win32",1301915847016
arch,sysinfo,,,"x86",1301915847016
ws,sysinfo,,,"win32",1301915847016
locale,sysinfo,,,"en_US",1301915847016
processors,sysinfo,,,"2",1301915847036
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1301915847036
java.runtime.version,sysinfo,,,"1.6.0_02-b06",1301915847036
java.specification.name,sysinfo,,,"Java Platform API Specification",1301915847036
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301915847036
java.specification.version,sysinfo,,,"1.6",1301915847038
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1301915847038
java.version,sysinfo,,,"1.6.0_02",1301915847038
java.vm.info,sysinfo,,,"mixed mode",1301915847038
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1301915847038
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1301915847038
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301915847038
java.vm.specification.version,sysinfo,,,"1.0",1301915847038
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1301915847038
java.vm.version,sysinfo,,,"1.6.0_02-b06",1301915847038
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1301915847223
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1301915847228
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1301915847316
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1301915847716
