what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1296991560694
started,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1296991560696
started,bundle,org.eclipse.jem.workbench,2.0.201.v200908271530,"org.eclipse.jem.workbench",1296991560725
started,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1296991560789
started,bundle,org.eclipse.jst.jsp.core,1.2.203.v200908241513,"org.eclipse.jst.jsp.core",1296991560834
started,bundle,org.eclipse.wst.wsdl.validation,1.1.401.v200902271605,"org.eclipse.wst.wsdl.validation",1296991560902
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296991576306
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296991581868
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296991581980
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296991582009
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296991588249
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296991592013
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1296991598443
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296991604658
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296991608525
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296991611971
started,bundle,org.eclipse.wst.common.environment,1.0.301.v200908101600,"org.eclipse.wst.common.environment",1296991623477
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296991623631
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296991649792
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1296991651639
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296991653417
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296991657428
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296991659321
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296991665704
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296991669251
